model_size,paired_conditions,mean_ft_target_rate_pct,mean_neutral_target_rate_pct,mean_enrichment_pp,median_enrichment_pp,positive_enrichment,sign_test_p,fdr_significant_pairs
72b,15,17.133333333333336,5.800000000000001,11.333333333333334,0.0,5/15,0.7265625,5
32b,15,16.133333333333333,6.000000000000001,10.133333333333333,0.0,7/15,0.548828125,5
14b,15,41.33333333333333,6.066666666666666,35.266666666666666,15.0,13/15,0.00738525390625,8
7b,15,5.600000000000001,5.266666666666668,0.3333333333333335,0.0,7/15,0.7744140625,0
3b,15,6.000000000000001,6.2666666666666675,-0.26666666666666666,0.0,6/15,1.0,1
1.5b,15,6.866666666666665,5.266666666666667,1.6,0.0,6/15,0.75390625,0
0.5b,15,3.4666666666666663,3.4666666666666663,1.2721305490496585e-16,0.0,5/15,1.0,0
