lambda_factor,gamma,se_cluster,t_cluster,df_cluster,p_one_sided_cluster,ci_low_95,ci_high_95,significant,ols_se_naive,ols_p_one_sided_naive,model_size
0.12190476,0.12190476,0.049341528,2.4706321,224,0.0071167947,0.024671805,0.21913772,True,0.00565437,2.3383876e-102,72b
0.12742857,0.12742857,0.041016809,3.1067403,224,0.0010680873,0.046600398,0.20825674,True,0.0050931529,1.371202e-136,32b
0.39466667,0.39466667,0.084206784,4.686875,224,2.4081893e-06,0.22872786,0.56060548,True,0.0047114383,0,14b
0.011952381,0.011952381,0.0079180327,1.509514,224,0.066288365,-0.003650981,0.027555743,False,0.0053709259,0.013032625,7b
0.0022857143,0.0022857143,0.0075970733,0.30086774,224,0.38189721,-0.012685162,0.01725659,False,0.0059653506,0.35080048,3b
0.02047619,0.02047619,0.012578112,1.6279225,224,0.05247351,-0.0043103741,0.045262755,False,0.0055875411,0.00012414006,1.5b
-0.002952381,-0.002952381,0.0046242368,-0.638458,224,0.7380861,-0.012064953,0.0061601907,False,0.0049451694,0.72475105,0.5b
